sport,date,home,away,home_score,away_score,odds_home,odds_draw,odds_away
tennis,2026-07-19,J. Bermejo,R. Aguayo,2,1,2.18,,2.02
tennis,2026-07-21,J. Bermejo,T. Ibarra,1,2,1.97,,2.28
tennis,2026-07-23,J. Bermejo,S. Quiroga,2,1,2.07,,2.31
tennis,2026-07-25,D. Salcedo,A. Rivas,0,2,2.48,,1.82
tennis,2026-07-27,D. Salcedo,M. Fontes,1,2,2.41,,1.89
tennis,2026-07-29,D. Salcedo,J. Bermejo,1,2,2.11,,2.08
tennis,2026-07-31,D. Salcedo,L. Peralta,1,2,2.01,,2.23
tennis,2026-08-02,D. Salcedo,R. Aguayo,2,1,2.15,,1.96
tennis,2026-08-04,D. Salcedo,T. Ibarra,0,2,2.01,,2.32
tennis,2026-08-06,D. Salcedo,S. Quiroga,1,2,2.11,,2.11
tennis,2026-08-08,L. Peralta,A. Rivas,2,1,2.82,,1.68
tennis,2026-08-10,L. Peralta,M. Fontes,1,2,2.48,,1.80
tennis,2026-08-12,L. Peralta,J. Bermejo,0,2,2.35,,1.87
tennis,2026-08-14,L. Peralta,D. Salcedo,0,2,2.37,,1.92
tennis,2026-08-16,L. Peralta,R. Aguayo,0,2,2.40,,1.82
tennis,2026-08-18,L. Peralta,T. Ibarra,2,0,2.08,,2.10
tennis,2026-08-20,L. Peralta,S. Quiroga,2,0,2.21,,1.92
tennis,2026-08-22,R. Aguayo,A. Rivas,0,2,2.35,,2.01
tennis,2026-08-24,R. Aguayo,M. Fontes,1,2,2.09,,1.98
tennis,2026-08-26,R. Aguayo,J. Bermejo,1,2,2.15,,2.16
tennis,2026-08-28,R. Aguayo,D. Salcedo,0,2,2.10,,2.16
tennis,2026-08-30,R. Aguayo,L. Peralta,2,0,1.91,,2.40
tennis,2026-09-01,R. Aguayo,T. Ibarra,2,0,1.88,,2.35
tennis,2026-09-03,R. Aguayo,S. Quiroga,2,0,1.91,,2.24
tennis,2026-09-05,T. Ibarra,A. Rivas,1,2,2.73,,1.80
tennis,2026-09-07,T. Ibarra,M. Fontes,2,0,2.35,,1.88
tennis,2026-09-09,T. Ibarra,J. Bermejo,2,1,2.32,,2.06
tennis,2026-09-11,T. Ibarra,D. Salcedo,2,0,2.27,,2.08
tennis,2026-09-13,T. Ibarra,L. Peralta,2,0,2.00,,2.28
tennis,2026-09-15,T. Ibarra,R. Aguayo,1,2,2.35,,2.00
tennis,2026-09-17,T. Ibarra,S. Quiroga,2,0,2.11,,2.01
tennis,2026-09-19,S. Quiroga,A. Rivas,0,2,2.57,,1.76
tennis,2026-09-21,S. Quiroga,M. Fontes,1,2,2.39,,1.89
tennis,2026-09-23,S. Quiroga,J. Bermejo,2,1,2.20,,1.94
tennis,2026-09-25,S. Quiroga,D. Salcedo,1,2,2.27,,2.17
tennis,2026-09-27,S. Quiroga,L. Peralta,1,2,2.10,,2.23
tennis,2026-09-29,S. Quiroga,R. Aguayo,2,1,2.25,,1.98
tennis,2026-10-01,S. Quiroga,T. Ibarra,2,1,1.99,,2.19
basketball,2026-10-03,Halcones,Titanes,132,98,1.71,,2.89
basketball,2026-10-05,Halcones,Lobos,129,95,1.57,,3.06
basketball,2026-10-07,Halcones,Tiburones,118,95,1.51,,3.23
basketball,2026-10-09,Halcones,Águilas,131,75,1.54,,3.74
basketball,2026-10-11,Halcones,Cóndores,127,95,1.65,,3.09
basketball,2026-10-13,Halcones,Panteras,132,77,1.42,,4.00
basketball,2026-10-15,Halcones,Toros,117,93,1.54,,3.49
basketball,2026-10-17,Titanes,Halcones,102,112,1.98,,2.16
basketball,2026-10-19,Titanes,Lobos,109,94,1.79,,2.70
basketball,2026-10-21,Titanes,Tiburones,111,85,1.70,,2.91
basketball,2026-10-23,Titanes,Águilas,104,77,1.65,,3.19
basketball,2026-10-25,Titanes,Cóndores,108,104,1.87,,2.60
basketball,2026-10-27,Titanes,Panteras,106,73,1.50,,3.39
basketball,2026-10-29,Titanes,Toros,115,82,1.68,,2.96
basketball,2026-10-31,Lobos,Halcones,96,120,2.23,,1.97
basketball,2026-11-02,Lobos,Titanes,101,111,2.08,,2.33
basketball,2026-11-04,Lobos,Tiburones,105,94,1.77,,2.63
basketball,2026-11-06,Lobos,Águilas,103,87,1.73,,2.69
basketball,2026-11-08,Lobos,Cóndores,96,95,1.89,,2.35
basketball,2026-11-10,Lobos,Panteras,93,73,1.60,,2.84
basketball,2026-11-12,Lobos,Toros,95,89,1.70,,2.65
basketball,2026-11-14,Tiburones,Halcones,94,119,2.28,,1.90
basketball,2026-11-16,Tiburones,Titanes,100,109,2.15,,2.28
basketball,2026-11-18,Tiburones,Lobos,99,100,1.91,,2.43
basketball,2026-11-20,Tiburones,Águilas,90,86,1.79,,2.61
basketball,2026-11-22,Tiburones,Cóndores,89,98,2.00,,2.36
basketball,2026-11-24,Tiburones,Panteras,88,79,1.73,,2.74
basketball,2026-11-26,Tiburones,Toros,88,90,1.86,,2.49
basketball,2026-11-28,Águilas,Halcones,78,119,2.56,,1.77
basketball,2026-11-30,Águilas,Titanes,86,98,2.17,,2.07
basketball,2026-12-02,Águilas,Lobos,84,100,2.17,,2.21
basketball,2026-12-04,Águilas,Tiburones,87,83,1.92,,2.21
basketball,2026-12-06,Águilas,Cóndores,83,95,2.05,,2.18
basketball,2026-12-08,Águilas,Panteras,80,73,1.90,,2.50
basketball,2026-12-10,Águilas,Toros,81,91,1.97,,2.30
basketball,2026-12-12,Cóndores,Halcones,100,124,2.08,,2.04
basketball,2026-12-14,Cóndores,Titanes,113,111,2.00,,2.41
basketball,2026-12-16,Cóndores,Lobos,105,95,1.87,,2.67
basketball,2026-12-18,Cóndores,Tiburones,104,96,1.74,,2.55
basketball,2026-12-20,Cóndores,Águilas,99,86,1.64,,3.03
basketball,2026-12-22,Cóndores,Panteras,103,73,1.65,,3.06
basketball,2026-12-24,Cóndores,Toros,107,82,1.65,,2.79
basketball,2026-12-26,Panteras,Halcones,77,111,2.56,,1.72
basketball,2026-12-28,Panteras,Titanes,77,102,2.26,,2.05
basketball,2026-12-30,Panteras,Lobos,86,91,2.17,,2.19
basketball,2027-01-01,Panteras,Tiburones,81,94,2.10,,2.08
basketball,2027-01-03,Panteras,Águilas,77,82,1.87,,2.29
basketball,2027-01-05,Panteras,Cóndores,77,104,2.21,,1.95
basketball,2027-01-07,Panteras,Toros,86,92,2.08,,2.28
basketball,2027-01-09,Toros,Halcones,98,116,2.39,,2.02
basketball,2027-01-11,Toros,Titanes,100,101,2.13,,2.20
basketball,2027-01-13,Toros,Lobos,90,92,1.94,,2.26
basketball,2027-01-15,Toros,Tiburones,89,92,1.89,,2.30
basketball,2027-01-17,Toros,Águilas,95,85,1.89,,2.51
basketball,2027-01-19,Toros,Cóndores,92,96,1.97,,2.16
basketball,2027-01-21,Toros,Panteras,93,68,1.79,,2.66
basketball,2027-01-23,Halcones,Titanes,122,106,1.63,,2.83
basketball,2027-01-25,Halcones,Lobos,125,101,1.62,,3.14
basketball,2027-01-27,Halcones,Tiburones,125,87,1.52,,3.42
basketball,2027-01-29,Halcones,Águilas,118,81,1.44,,3.78
basketball,2027-01-31,Halcones,Cóndores,128,105,1.72,,2.96
basketball,2027-02-02,Halcones,Panteras,132,69,1.49,,4.04
basketball,2027-02-04,Halcones,Toros,120,90,1.48,,3.28
basketball,2027-02-06,Titanes,Halcones,110,123,2.15,,2.28
basketball,2027-02-08,Titanes,Lobos,108,90,1.69,,2.62
basketball,2027-02-10,Titanes,Tiburones,102,90,1.70,,2.88
basketball,2027-02-12,Titanes,Águilas,105,76,1.57,,3.12
basketball,2027-02-14,Titanes,Cóndores,109,108,1.86,,2.53
basketball,2027-02-16,Titanes,Panteras,104,81,1.52,,3.15
basketball,2027-02-18,Titanes,Toros,102,81,1.65,,2.79
basketball,2027-02-20,Lobos,Halcones,107,112,2.25,,1.99
basketball,2027-02-22,Lobos,Titanes,94,103,2.08,,2.27
basketball,2027-02-24,Lobos,Tiburones,95,93,1.87,,2.46
basketball,2027-02-26,Lobos,Águilas,94,78,1.63,,2.78
basketball,2027-02-28,Lobos,Cóndores,100,94,1.90,,2.29
basketball,2027-03-02,Lobos,Panteras,94,71,1.64,,2.98
basketball,2027-03-04,Lobos,Toros,104,92,1.83,,2.67
basketball,2027-03-06,Tiburones,Halcones,101,114,2.19,,1.89
basketball,2027-03-08,Tiburones,Titanes,91,112,2.01,,2.24
basketball,2027-03-10,Tiburones,Lobos,91,90,2.01,,2.46
basketball,2027-03-12,Tiburones,Águilas,89,88,1.79,,2.57
basketball,2027-03-14,Tiburones,Cóndores,99,107,1.99,,2.35
basketball,2027-03-16,Tiburones,Panteras,97,78,1.65,,2.77
basketball,2027-03-18,Tiburones,Toros,92,90,1.92,,2.49
basketball,2027-03-20,Águilas,Halcones,79,116,2.45,,1.86
basketball,2027-03-22,Águilas,Titanes,79,110,2.28,,1.94
basketball,2027-03-24,Águilas,Lobos,78,97,2.16,,2.28
basketball,2027-03-26,Águilas,Tiburones,78,95,2.04,,2.37
basketball,2027-03-28,Águilas,Cóndores,93,104,2.12,,2.06
basketball,2027-03-30,Águilas,Panteras,89,71,1.91,,2.61
basketball,2027-04-01,Águilas,Toros,87,93,1.88,,2.20
basketball,2027-04-03,Cóndores,Halcones,102,114,2.09,,2.11
basketball,2027-04-05,Cóndores,Titanes,108,105,1.87,,2.25
basketball,2027-04-07,Cóndores,Lobos,98,89,1.79,,2.44
basketball,2027-04-09,Cóndores,Tiburones,103,84,1.71,,2.77
basketball,2027-04-11,Cóndores,Águilas,97,76,1.74,,2.89
basketball,2027-04-13,Cóndores,Panteras,100,73,1.61,,3.01
basketball,2027-04-15,Cóndores,Toros,105,91,1.74,,2.70
basketball,2027-04-17,Panteras,Halcones,87,117,2.54,,1.78
basketball,2027-04-19,Panteras,Titanes,78,108,2.28,,2.04
basketball,2027-04-21,Panteras,Lobos,86,92,2.10,,2.01
basketball,2027-04-23,Panteras,Tiburones,79,91,2.01,,2.07
basketball,2027-04-25,Panteras,Águilas,77,78,1.91,,2.34
basketball,2027-04-27,Panteras,Cóndores,78,105,2.18,,2.07
basketball,2027-04-29,Panteras,Toros,87,89,1.98,,2.19
basketball,2027-05-01,Toros,Halcones,93,111,2.38,,1.98
basketball,2027-05-03,Toros,Titanes,84,107,2.14,,2.04
basketball,2027-05-05,Toros,Lobos,91,92,1.90,,2.21
basketball,2027-05-07,Toros,Tiburones,87,86,1.85,,2.42
basketball,2027-05-09,Toros,Águilas,95,77,1.71,,2.47
basketball,2027-05-11,Toros,Cóndores,91,102,1.97,,2.28
basketball,2027-05-13,Toros,Panteras,92,77,1.69,,2.85
basketball,2027-05-15,Halcones,Titanes,118,106,1.71,,2.79
basketball,2027-05-17,Halcones,Lobos,122,91,1.57,,3.24
basketball,2027-05-19,Halcones,Tiburones,120,88,1.57,,3.16
basketball,2027-05-21,Halcones,Águilas,117,85,1.52,,3.77
basketball,2027-05-23,Halcones,Cóndores,124,101,1.64,,2.87
basketball,2027-05-25,Halcones,Panteras,117,82,1.48,,4.09
basketball,2027-05-27,Halcones,Toros,121,92,1.58,,3.29
basketball,2027-05-29,Titanes,Halcones,106,118,1.97,,2.17
basketball,2027-05-31,Titanes,Lobos,116,94,1.76,,2.60
basketball,2027-06-02,Titanes,Tiburones,111,97,1.77,,2.91
basketball,2027-06-04,Titanes,Águilas,103,81,1.58,,3.13
basketball,2027-06-06,Titanes,Cóndores,117,106,1.90,,2.54
basketball,2027-06-08,Titanes,Panteras,103,73,1.59,,3.40
basketball,2027-06-10,Titanes,Toros,110,88,1.62,,2.85
basketball,2027-06-12,Lobos,Halcones,97,116,2.12,,1.98
basketball,2027-06-14,Lobos,Titanes,104,109,1.94,,2.23
basketball,2027-06-16,Lobos,Tiburones,100,86,1.76,,2.49
basketball,2027-06-18,Lobos,Águilas,100,85,1.67,,2.77
basketball,2027-06-20,Lobos,Cóndores,105,102,1.93,,2.38
basketball,2027-06-22,Lobos,Panteras,96,81,1.65,,2.89
basketball,2027-06-24,Lobos,Toros,98,91,1.81,,2.65
basketball,2027-06-26,Tiburones,Halcones,93,114,2.31,,1.98
basketball,2027-06-28,Tiburones,Titanes,89,99,1.97,,2.18
basketball,2027-06-30,Tiburones,Lobos,94,98,2.03,,2.29
basketball,2027-07-02,Tiburones,Águilas,92,86,1.73,,2.55
basketball,2027-07-04,Tiburones,Cóndores,97,106,1.96,,2.32
basketball,2027-07-06,Tiburones,Panteras,96,73,1.75,,2.79
basketball,2027-07-08,Tiburones,Toros,95,93,1.76,,2.62
basketball,2027-07-10,Águilas,Halcones,82,117,2.42,,1.79
basketball,2027-07-12,Águilas,Titanes,77,107,2.22,,1.99
basketball,2027-07-14,Águilas,Lobos,84,102,2.12,,2.08
basketball,2027-07-16,Águilas,Tiburones,80,93,2.01,,2.26
basketball,2027-07-18,Águilas,Cóndores,84,100,2.18,,2.04
basketball,2027-07-20,Águilas,Panteras,80,73,1.77,,2.66
basketball,2027-07-22,Águilas,Toros,80,89,2.02,,2.31
basketball,2027-07-24,Cóndores,Halcones,103,114,2.22,,2.21
basketball,2027-07-26,Cóndores,Titanes,109,110,2.00,,2.34
basketball,2027-07-28,Cóndores,Lobos,111,102,1.80,,2.45
basketball,2027-07-30,Cóndores,Tiburones,110,96,1.76,,2.57
basketball,2027-08-01,Cóndores,Águilas,100,82,1.59,,2.98
basketball,2027-08-03,Cóndores,Panteras,113,79,1.69,,3.15
basketball,2027-08-05,Cóndores,Toros,107,94,1.67,,2.87
basketball,2027-08-07,Panteras,Halcones,79,126,2.71,,1.74
basketball,2027-08-09,Panteras,Titanes,87,104,2.41,,1.91
basketball,2027-08-11,Panteras,Lobos,76,98,2.05,,2.06
basketball,2027-08-13,Panteras,Tiburones,78,89,2.10,,2.26
basketball,2027-08-15,Panteras,Águilas,82,83,1.97,,2.40
basketball,2027-08-17,Panteras,Cóndores,75,102,2.22,,1.94
basketball,2027-08-19,Panteras,Toros,79,84,1.97,,2.13
basketball,2027-08-21,Toros,Halcones,86,115,2.37,,1.88
basketball,2027-08-23,Toros,Titanes,91,105,2.15,,2.15
basketball,2027-08-25,Toros,Lobos,89,92,1.91,,2.20
basketball,2027-08-27,Toros,Tiburones,86,94,1.91,,2.38
basketball,2027-08-29,Toros,Águilas,93,83,1.86,,2.65
basketball,2027-08-31,Toros,Cóndores,97,101,1.95,,2.14
basketball,2027-09-02,Toros,Panteras,91,75,1.70,,2.58
basketball,2027-09-04,Halcones,Titanes,127,103,1.72,,2.85
basketball,2027-09-06,Halcones,Lobos,123,95,1.60,,3.14
basketball,2027-09-08,Halcones,Tiburones,123,87,1.52,,3.41
basketball,2027-09-10,Halcones,Águilas,122,76,1.53,,3.85
basketball,2027-09-12,Halcones,Cóndores,131,96,1.58,,2.82
basketball,2027-09-14,Halcones,Panteras,128,83,1.48,,3.99
basketball,2027-09-16,Halcones,Toros,123,81,1.50,,3.42
basketball,2027-09-18,Titanes,Halcones,115,111,2.12,,2.20
basketball,2027-09-20,Titanes,Lobos,107,98,1.68,,2.64
basketball,2027-09-22,Titanes,Tiburones,110,92,1.74,,2.68
basketball,2027-09-24,Titanes,Águilas,104,80,1.69,,3.23
basketball,2027-09-26,Titanes,Cóndores,116,106,1.82,,2.45
basketball,2027-09-28,Titanes,Panteras,105,81,1.52,,3.40
basketball,2027-09-30,Titanes,Toros,112,95,1.75,,2.84
basketball,2027-10-02,Lobos,Halcones,104,119,2.13,,2.02
basketball,2027-10-04,Lobos,Titanes,98,104,1.96,,2.32
basketball,2027-10-06,Lobos,Tiburones,105,83,1.74,,2.59
basketball,2027-10-08,Lobos,Águilas,98,78,1.67,,2.85
basketball,2027-10-10,Lobos,Cóndores,104,96,1.94,,2.36
basketball,2027-10-12,Lobos,Panteras,100,71,1.70,,3.03
basketball,2027-10-14,Lobos,Toros,92,81,1.85,,2.73
basketball,2027-10-16,Tiburones,Halcones,98,124,2.27,,1.99
basketball,2027-10-18,Tiburones,Titanes,100,109,2.13,,2.17
basketball,2027-10-20,Tiburones,Lobos,91,89,1.94,,2.32
basketball,2027-10-22,Tiburones,Águilas,94,84,1.84,,2.64
basketball,2027-10-24,Tiburones,Cóndores,91,93,1.92,,2.19
basketball,2027-10-26,Tiburones,Panteras,91,81,1.72,,2.91
basketball,2027-10-28,Tiburones,Toros,101,83,1.85,,2.46
basketball,2027-10-30,Águilas,Halcones,90,116,2.49,,1.80
basketball,2027-11-01,Águilas,Titanes,81,101,2.19,,1.97
basketball,2027-11-03,Águilas,Lobos,87,93,2.04,,2.15
basketball,2027-11-05,Águilas,Tiburones,82,88,2.01,,2.16
basketball,2027-11-07,Águilas,Cóndores,85,99,2.24,,2.05
basketball,2027-11-09,Águilas,Panteras,82,68,1.78,,2.46
basketball,2027-11-11,Águilas,Toros,80,81,2.05,,2.41
basketball,2027-11-13,Cóndores,Halcones,112,126,2.14,,2.03
basketball,2027-11-15,Cóndores,Titanes,101,98,1.99,,2.44
basketball,2027-11-17,Cóndores,Lobos,103,96,1.74,,2.51
basketball,2027-11-19,Cóndores,Tiburones,102,83,1.68,,2.69
basketball,2027-11-21,Cóndores,Águilas,97,88,1.70,,3.08
basketball,2027-11-23,Cóndores,Panteras,108,82,1.60,,2.95
basketball,2027-11-25,Cóndores,Toros,110,90,1.70,,2.77
basketball,2027-11-27,Panteras,Halcones,72,124,2.63,,1.75
basketball,2027-11-29,Panteras,Titanes,73,106,2.37,,2.03
basketball,2027-12-01,Panteras,Lobos,81,91,2.14,,2.04
basketball,2027-12-03,Panteras,Tiburones,78,84,1.98,,2.12
basketball,2027-12-05,Panteras,Águilas,84,83,1.96,,2.43
basketball,2027-12-07,Panteras,Cóndores,80,103,2.14,,2.12
basketball,2027-12-09,Panteras,Toros,79,93,2.00,,2.15
basketball,2027-12-11,Toros,Halcones,95,126,2.29,,2.02
basketball,2027-12-13,Toros,Titanes,91,103,2.17,,2.04
basketball,2027-12-15,Toros,Lobos,87,95,1.89,,2.33
basketball,2027-12-17,Toros,Tiburones,93,94,1.99,,2.43
basketball,2027-12-19,Toros,Águilas,99,80,1.87,,2.60
basketball,2027-12-21,Toros,Cóndores,90,93,1.98,,2.20
basketball,2027-12-23,Toros,Panteras,94,79,1.78,,2.74
